K_cap,group_size,max_offspring,threshold,type,beta,rep,extinct,time_to_extinction
500,5,6,0.5,TRUE,2,1,0,NA
1000,5,6,0.5,TRUE,2,1,0,NA
250,10,6,0.5,TRUE,2,1,1,498
500,10,6,0.5,TRUE,2,1,0,NA
1000,10,6,0.5,TRUE,2,1,0,NA
250,1,10,0.5,TRUE,2,1,1,380
500,1,10,0.5,TRUE,2,1,1,392
1000,1,10,0.5,TRUE,2,1,1,385
250,3,10,0.5,TRUE,2,1,1,484
500,3,10,0.5,TRUE,2,1,0,NA
1000,3,10,0.5,TRUE,2,1,0,NA
250,5,10,0.5,TRUE,2,1,0,NA
500,5,10,0.5,TRUE,2,1,0,NA
1000,5,10,0.5,TRUE,2,1,0,NA
250,10,10,0.5,TRUE,2,1,0,NA
500,10,10,0.5,TRUE,2,1,0,NA
1000,10,10,0.5,TRUE,2,1,0,NA
250,1,3,1,TRUE,2,1,1,285
500,1,3,1,TRUE,2,1,1,331
1000,1,3,1,TRUE,2,1,1,324
250,3,3,1,TRUE,2,1,1,311
500,3,3,1,TRUE,2,1,1,312
1000,3,3,1,TRUE,2,1,1,327
250,5,3,1,TRUE,2,1,1,315
500,5,3,1,TRUE,2,1,1,293
1000,5,3,1,TRUE,2,1,1,340
250,10,3,1,TRUE,2,1,1,281
500,10,3,1,TRUE,2,1,1,305
1000,10,3,1,TRUE,2,1,1,320
250,1,6,1,TRUE,2,1,1,406
500,1,6,1,TRUE,2,1,1,385
1000,1,6,1,TRUE,2,1,1,346
250,3,6,1,TRUE,2,1,1,296
500,3,6,1,TRUE,2,1,1,383
1000,3,6,1,TRUE,2,1,1,385
250,5,6,1,TRUE,2,1,1,446
500,5,6,1,TRUE,2,1,1,380
1000,5,6,1,TRUE,2,1,1,414
250,10,6,1,TRUE,2,1,1,411
500,10,6,1,TRUE,2,1,1,379
1000,10,6,1,TRUE,2,1,1,404
250,1,10,1,TRUE,2,1,1,364
500,1,10,1,TRUE,2,1,1,379
